ray_id,parent_id,depth,surface,x0,y0,z0,x1,y1,z1,power,intensity
143,-1,0,Detector_direct,-0.3413058605570691,-0.8066309087352058,3.3199,-0.3413058605570691,-0.8066309087352058,2.6,25561.97558874095,54922249396.923515
144,-1,0,Detector_direct,-0.3418511730623698,-0.8070657809468079,3.3199,-0.3418511730623698,-0.8070657809468079,2.6,25561.97558874095,54922249396.923515
145,-1,0,Detector_direct,-0.34245520921745143,-0.8074145213835446,3.3199,-0.34245520921745143,-0.8074145213835446,2.6,25561.97558874095,54922249396.923515
146,-1,0,Detector_direct,-0.3431044758527491,-0.8076693397603353,3.3199,-0.3431044758527491,-0.8076693397603353,2.6,25561.97558874095,54922249396.923515
147,-1,0,Detector_direct,-0.3437844694245112,-0.8078245438557172,3.3199,-0.3437844694245112,-0.8078245438557172,2.6,25561.97558874095,54922249396.923515
148,-1,0,Detector_direct,-0.34448,-0.8078766666666667,3.3199,-0.34448,-0.8078766666666667,2.6,25561.97558874095,54922249396.923515
149,-1,0,Detector_direct,-0.34517553057548883,-0.8078245438557172,3.3199,-0.34517553057548883,-0.8078245438557172,2.6,25561.97558874095,54922249396.923515
150,-1,0,Detector_direct,-0.3458555241472509,-0.8076693397603353,3.3199,-0.3458555241472509,-0.8076693397603353,2.6,25561.97558874095,54922249396.923515
151,-1,0,Detector_direct,-0.3465047907825486,-0.8074145213835446,3.3199,-0.3465047907825486,-0.8074145213835446,2.6,25561.97558874095,54922249396.923515
152,-1,0,Detector_direct,-0.34710882693763023,-0.8070657809468079,3.3199,-0.34710882693763023,-0.8070657809468079,2.6,25561.97558874095,54922249396.923515
153,-1,0,Detector_direct,-0.34765413944293094,-0.8066309087352058,3.3199,-0.34765413944293094,-0.8066309087352058,2.6,25561.97558874095,54922249396.923515
154,-1,0,Detector_direct,-0.3481285469181841,-0.8061196190753407,3.3199,-0.3481285469181841,-0.8061196190753407,2.6,25561.97558874095,54922249396.923515
155,-1,0,Detector_direct,-0.34852145188432737,-0.8055433333333333,3.3199,-0.34852145188432737,-0.8055433333333333,2.6,25561.97558874095,54922249396.923515
156,-1,0,Detector_direct,-0.34882407749367295,-0.8049149247803765,3.3199,-0.34882407749367295,-0.8049149247803765,2.6,25561.97558874095,54922249396.923515
157,-1,0,Detector_direct,-0.34902966359018184,-0.8042484310251294,3.3199,-0.34902966359018184,-0.8042484310251294,2.6,25561.97558874095,54922249396.923515
158,-1,0,Detector_direct,-0.34913361772017887,-0.8035587404367366,3.3199,-0.34913361772017887,-0.8035587404367366,2.6,25561.97558874095,54922249396.923515
159,-1,0,Detector_direct,-0.34913361772017887,-0.8028612595632634,3.3199,-0.34913361772017887,-0.8028612595632634,2.6,25561.97558874095,54922249396.923515
160,-1,0,Detector_direct,-0.34902966359018184,-0.8021715689748705,3.3199,-0.34902966359018184,-0.8021715689748705,2.6,25561.97558874095,54922249396.923515
