2.2.1	(-1.0270780414, -0.7450057125, -2.7708729202)	(-1.0272926294, -0.7443319529, -2.7713757004)	(-1.0266188698, -0.744117365, -2.7718784806)	(-1.0264042819, -0.7447911245, -2.7713757004)
2.2.2	(-1.0266262797, -0.7440203991, -2.7709461782)	(-1.0265734299, -0.74331527, -2.7714457934)	(-1.0258683007, -0.7433681198, -2.7719454085)	(-1.0259211506, -0.744073249, -2.7714457934)
2.2.3	(-1.0259656119, -0.7447081062, -2.7709682111)	(-1.0257770764, -0.744026597, -2.7714662146)	(-1.0250955672, -0.7442151325, -2.7719642181)	(-1.0252841027, -0.7448966417, -2.7714662146)
2.2.4	(-1.0260408024, -0.743082645, -2.7717203018)	(-1.0261269574, -0.7423808063, -2.7722215641)	(-1.0254251187, -0.7422946513, -2.7727228263)	(-1.0253389637, -0.74299649, -2.7722215641)
2.2.5	(-1.0249858628, -0.7443659279, -2.7709979962)	(-1.0246728144, -0.7437318927, -2.7714953807)	(-1.0240387793, -0.7440449411, -2.7719927652)	(-1.0243518276, -0.7446789762, -2.7714953807)
2.2.6	(-1.0254429223, -0.7454019563, -2.7710222864)	(-1.0250146045, -0.744839334, -2.7715192311)	(-1.0244519822, -0.7452676519, -2.7720161759)	(-1.0248803, -0.7458302742, -2.7715192311)
2.2.7	(-1.0266297509, -0.7467484058, -2.7709139448)	(-1.0261004491, -0.7462795354, -2.7714128425)	(-1.0256315786, -0.7468088372, -2.7719117402)	(-1.0261608805, -0.7472777076, -2.7714128425)

2.3.1	(-1.0237318573, -0.752833739, -2.4411489777)	(-1.0235997399, -0.7521390845, -2.4416436167)	(-1.0229050853, -0.7522712019, -2.4421382556)	(-1.0230372028, -0.7529658564, -2.4416436167)
2.3.2	(-1.023419917, -0.7516576176, -2.4412229684)	(-1.0234207893, -0.7509505112, -2.4417169541)	(-1.0227136829, -0.7509496389, -2.4422109397)	(-1.0227128106, -0.7516567453, -2.4417169541)
2.3.3	(-1.0228066851, -0.752350604, -2.4412666731)	(-1.0225477979, -0.7516925935, -2.4417590847)	(-1.0218897874, -0.7519514807, -2.4422514962)	(-1.0221486746, -0.7526094912, -2.4417590847)
2.3.4	(-1.022667017, -0.7507051355, -2.4419356769)	(-1.0227948392, -0.7500096781, -2.4424352229)	(-1.0220993818, -0.7498818559, -2.4429347689)	(-1.0219715596, -0.7505773133, -2.4424352229)
2.3.5	(-1.0217175521, -0.7527392482, -2.4414976613)	(-1.021338973, -0.7521420228, -2.4419901435)	(-1.0207417476, -0.7525206018, -2.4424826256)	(-1.0211203266, -0.7531178273, -2.4419901435)
2.3.6	(-1.0224309928, -0.7534838175, -2.4411941357)	(-1.0219435979, -0.7529715224, -2.4416875137)	(-1.0214313028, -0.7534589172, -2.4421808917)	(-1.0219186977, -0.7539712124, -2.4416875137)
2.3.7	(-1.0235142884, -0.7539026666, -2.4411666556)	(-1.0229377609, -0.7534932573, -2.4416606718)	(-1.0225283517, -0.7540697849, -2.4421546881)	(-1.0231048792, -0.7544791941, -2.4416606718)

2.4.1	(-1.0278175438, -0.7522706513, -2.1093601001)	(-1.0279985768, -0.7515871112, -2.1098725626)	(-1.0273150367, -0.7514060781, -2.1103850252)	(-1.0271340037, -0.7520896182, -2.1098725626)
2.4.2	(-1.0274096016, -0.7509207125, -2.1093949498)	(-1.0273184291, -0.7502195085, -2.1099129367)	(-1.026617225, -0.7503106809, -2.1104309236)	(-1.0267083975, -0.751011885, -2.1099129367)
2.4.3	(-1.0267703243, -0.7516409539, -2.1093958948)	(-1.0265427943, -0.7509714542, -2.109915708)	(-1.0258732946, -0.7511989841, -2.1104355211)	(-1.0261008245, -0.7518684839, -2.109915708)
2.4.4	(-1.02668056, -0.7499326731, -2.1102294119)	(-1.026730449, -0.7492273283, -2.1107448418)	(-1.0260251042, -0.7491774394, -2.1112602716)	(-1.0259752152, -0.7498827841, -2.1107448418)
2.4.5	(-1.02568804, -0.7517588983, -2.1093099771)	(-1.0253302744, -0.7511489769, -2.1098318017)	(-1.0247203529, -0.7515067425, -2.1103536263)	(-1.0250781185, -0.7521166639, -2.1098318017)
2.4.6	(-1.0261906872, -0.752841935, -2.1094731626)	(-1.025626485, -0.7524157003, -2.1099934265)	(-1.0252002503, -0.7529799025, -2.1105136905)	(-1.0257644525, -0.7534061372, -2.1099934265)
2.4.7	(-1.0271898579, -0.7526096245, -2.1093394909)	(-1.026723641, -0.7520779838, -2.10986053)	(-1.0261920003, -0.7525442007, -2.1103815691)	(-1.0266582172, -0.7530758414, -2.10986053)

3.1.1	(0.7462477881, -1.018292938, -3.1003588005)	(0.7455488844, -1.0181855431, -3.1008682926)	(0.7456562793, -1.0174866394, -3.1013777847)	(0.746355183, -1.0175940343, -3.1008682926)
3.1.2	(0.7452409931, -1.0180371886, -3.1003211311)	(0.7445344729, -1.0180659883, -3.1008327473)	(0.7445056732, -1.017359468, -3.1013443634)	(0.7452121935, -1.0173306683, -3.1008327473)
